id,word,year,mean_weighted_sentiment
3731,απας,-500.0,-0.99078
3731,απας,-490.0,-0.991
3731,απας,-479.0,-0.93865
3731,απας,-450.0,-0.976475
3731,απας,-387.0,-0.9855
3731,απας,-353.0,-0.94560625
3731,απας,-329.0,-0.8833
3731,απας,-266.0,-0.7494875000000001
3731,απας,-155.0,-0.953325
3731,απας,-149.0,-0.9560249999999999
3731,απας,-50.0,-0.9500653061224491
3731,απας,-34.0,-0.96296
3731,απας,15.0,-0.9281599999999999
3731,απας,90.0,-0.9401
3731,απας,150.0,-0.9318761904761904
3731,απας,152.0,-0.928809090909091
3731,απας,172.0,-0.41722000000000004
3731,απας,200.0,-0.8920047619047619
3731,απας,237.0,-0.9166
3731,απας,269.0,-0.9841
3731,απας,299.0,-0.9834333333333333
3731,απας,311.0,-0.9681
3731,απας,350.0,-0.9381888888888889
3731,απας,425.0,-0.8996615384615385
3731,απας,448.0,-0.9310666666666667
3731,απας,490.0,-0.8896208333333333
3731,απας,530.0,0.05431538461538465
3731,απας,550.0,-0.9502
3731,απας,950.0,-0.971690909090909
3731,απας,1118.0,-0.9420333333333333
3731,απας,1150.0,-0.96
