id,word,year,mean_weighted_sentiment
5360,αταομαι,-479.0,-0.9753000000000001
5360,αταομαι,-450.0,-0.9725454545454544
5360,αταομαι,-266.0,-0.9487
5360,αταομαι,-50.0,-0.843542857142857
5360,αταομαι,49.0,-0.8911
5360,αταομαι,80.0,-0.861
5360,αταομαι,150.0,-0.9291333333333333
5360,αταομαι,172.0,-0.97985
5360,αταομαι,219.0,-0.93255
5360,αταομαι,237.0,-0.9194800000000001
5360,αταομαι,249.0,-0.9725
5360,αταομαι,269.0,-0.9284
5360,αταομαι,311.0,-0.9555
5360,αταομαι,350.0,-0.9147
5360,αταομαι,352.0,-0.9929
5360,αταομαι,425.0,-0.9127000000000001
5360,αταομαι,448.0,-0.9539500000000001
5360,αταομαι,490.0,-0.9034642857142856
5360,αταομαι,550.0,-0.9758
5360,αταομαι,950.0,-0.9803285714285713
5360,αταομαι,1118.0,-0.9548
