id,word,year,mean_weighted_sentiment
7156,γυναικωνιτις,-415.0,-0.89865
7156,γυναικωνιτις,-353.0,-0.9843500000000001
7156,γυναικωνιτις,-266.0,-0.5206000000000001
7156,γυναικωνιτις,-50.0,-0.9134724999999999
7156,γυναικωνιτις,15.0,-0.9185
7156,γυναικωνιτις,147.0,-0.9739500000000001
7156,γυναικωνιτις,150.0,-0.97195
7156,γυναικωνιτις,182.0,-0.9726
7156,γυναικωνιτις,200.0,-0.9925
7156,γυναικωνιτις,350.0,-0.9729000000000001
7156,γυναικωνιτις,359.0,-0.9378
7156,γυναικωνιτις,490.0,-0.9033
7156,γυναικωνιτις,950.0,-0.9798291666666666
