id,word,year,mean_weighted_sentiment
14674,ηλος,-353.0,-0.9419000000000001
14674,ηλος,-266.0,-0.9577249999999999
14674,ηλος,-155.0,-0.9689
14674,ηλος,-50.0,-0.9618351351351353
14674,ηλος,15.0,-0.9477
14674,ηλος,150.0,-0.9322900000000001
14674,ηλος,200.0,-0.9904000000000001
14674,ηλος,205.0,-0.9912
14674,ηλος,219.0,-0.9458
14674,ηλος,320.0,-0.98715
14674,ηλος,350.0,-0.9471
14674,ηλος,425.0,-0.9183
14674,ηλος,448.0,-0.9573333333333333
14674,ηλος,950.0,-0.9847466666666665
14674,ηλος,1118.0,-0.9502999999999999
