id,word,year,mean_weighted_sentiment
32641,τη,-550.0,-0.8351
32641,τη,-500.0,-0.9917
32641,τη,-490.0,-0.4901
32641,τη,-479.0,-0.8629999999999999
32641,τη,-450.0,-0.66685
32641,τη,-415.0,-0.9779111111111111
32641,τη,-353.0,-0.9213697674418602
32641,τη,-300.0,-0.9621
32641,τη,-270.0,-0.9356545454545454
32641,τη,-266.0,-0.8107002444987774
32641,τη,-249.0,-0.9696
32641,τη,-155.0,-0.9087109756097562
32641,τη,-149.0,-0.8134333333333333
32641,τη,-100.0,-0.9424
32641,τη,-50.0,-0.9376348072562359
32641,τη,-34.0,0.25545000000000007
32641,τη,15.0,-0.9330533333333334
32641,τη,49.0,-0.934090909090909
32641,τη,80.0,-0.9125
32641,τη,90.0,-0.9078833333333333
32641,τη,127.0,-0.7970791666666667
32641,τη,147.0,-0.8291666666666666
32641,τη,150.0,-0.8855124423963134
32641,τη,152.0,-0.9418272727272726
32641,τη,172.0,-0.8898708333333333
32641,τη,182.0,-0.6726125000000001
32641,τη,200.0,-0.8880595890410959
32641,τη,205.0,-0.96865
32641,τη,219.0,-0.9424357142857142
32641,τη,237.0,-0.563175
32641,τη,249.0,-0.9552666666666667
32641,τη,269.0,-0.9231116279069765
32641,τη,299.0,-0.9546199999999999
32641,τη,311.0,-0.9336555555555555
32641,τη,320.0,-0.9279786885245903
32641,τη,335.0,-0.96925
32641,τη,350.0,-0.9420546875
32641,τη,352.0,-0.63025
32641,τη,359.0,-0.96255
32641,τη,425.0,-0.8796776699029127
32641,τη,447.0,-0.9448
32641,τη,448.0,-0.952836
32641,τη,490.0,-0.8734014285714286
32641,τη,530.0,-0.85554375
32641,τη,550.0,-0.9471490566037735
32641,τη,950.0,-0.9745237885462555
32641,τη,1118.0,-0.9526333333333334
32641,τη,1150.0,-0.37152
